site_id,point_id,latitude_dd,longitude_dd,elevation
SANDY NECK,S2-T9-10,41.730276697864106,-70.36929317779239,1.5903
SANDY NECK,S2-T9-11,41.73027241787096,-70.36930843992626,1.5023
SANDY NECK,S2-T9-12,41.73026999968269,-70.36932618722066,1.5283
SANDY NECK,S2-T9-13,41.73026217988578,-70.3693452385739,1.5533
SANDY NECK,S2-T9-14,41.73025361520154,-70.3693701103943,1.5574
SANDY NECK,S2-T9-15,41.73024497337419,-70.3693969199887,1.5714
SANDY NECK,S2-T9-16,41.73023543431955,-70.36942419507118,1.5874
SANDY NECK,S2-T9-17,41.73022589192806,-70.36945099393719,1.6104
SANDY NECK,S2-T9-18,41.73021402727457,-70.36947842280144,1.6204
SANDY NECK,S2-T9-19,41.730199050456605,-70.3695138113424,1.6085
SANDY NECK,S2-T9-20,41.730182934943656,-70.36955103213069,1.6115
SANDY NECK,S2-T9-21,41.730168738304386,-70.36958519396542,1.6055
SANDY NECK,S2-T9-22,41.73015733784258,-70.36963185727446,1.6065
SANDY NECK,S2-T9-23,41.73014482249832,-70.36968137654662,1.6006
SANDY NECK,S2-T9-24,41.7301345418885,-70.36972400683241,1.6046
SANDY NECK,S2-T9-25,41.730128619839014,-70.36975989787051,1.6056
SANDY NECK,S2-T9-26,41.730121173833126,-70.36978460818906,1.5966
SANDY NECK,S2-T9-27,41.73011153434073,-70.36981878861609,1.5886
SANDY NECK,S2-T9-28,41.730098453408765,-70.3698530389888,1.5886
SANDY NECK,S2-T9-29,41.73009099059969,-70.369876135354275,1.5857
SANDY NECK,S2-T9-30,41.73008397099101,-70.36990360691847,1.5867
SANDY NECK,S2-T8-31,41.72953753808925,-70.36825739829798,1.492
SANDY NECK,S2-T8-32,41.72953428270117,-70.3682804168205,1.553
SANDY NECK,S2-T8-33,41.729532372646524,-70.36830391237233,1.579
SANDY NECK,S2-T8-34,41.72953044138291,-70.36833145700257,1.588
SANDY NECK,S2-T8-35,41.72952814973922,-70.36836581614132,1.591
SANDY NECK,S2-T8-36,41.72952500741558,-70.36840580708476,1.604
SANDY NECK,S2-T8-37,41.72952201226906,-70.36844705159676,1.606
SANDY NECK,S2-T8-38,41.729518252089356,-70.36848446840251,1.626
SANDY NECK,S2-T8-39,41.72951322841135,-70.36851151212535,1.624
SANDY NECK,S2-T8POND-40,41.72951043828353,-70.3685181512134,1.314
SANDY NECK,S2-T8-41,41.72951088621473,-70.36853196374722,1.62
SANDY NECK,S2-T8-42,41.729505673005306,-70.36856281971154,1.6201
SANDY NECK,S2-T8-43,41.72949964241205,-70.3685927313041,1.6091
