Abbrev,n,median
Alafia,344,1.3679597973823547
Albemarle,320766,3.5933257341384888
Aliso_San,102,-0.33094771206378937
Alsea,2905,0.776788592338562
Altamaha,107408,2.406867027282715
Amite,144,3.191284656524658
Apalachee,110999,1.5061061382293701
Apalachi1,29560,0.9918341636657715
Apalachi2,31131,1.074564814567566
Appomatto,62,4.240892171859741
Aransas,22229,4.726548194885254
Aransas_B,165035,4.933662414550781
Atchafala,9207,3.440974235534668
Aucilla,2112,1.5842286348342896
Austin_Oy,162409,3.4733126163482666
Baffin_Ba,3012,3.3512632846832275
Bayou_Tec,2461,3.4058678150177
Big_Cypre,158124,2.1015971899032593
Big_Navar,982,0.17971382290124893
Black,2,2.471377968788147
Blackwate,1982,1.6134755611419678
Brandywin,56780,3.3106435537338257
Broad_St_,246868,2.572571277618408
Broadkill,239168,3.5513641834259033
Bronx,4360,2.3335654735565186
Buffalo_S,11273,3.7778987884521484
Bulls_Bay,220032,2.2622450590133667
Calibogue,119914,2.6758047342300415
Calleguas,8334,-0.007026186911389232
Caloosaha,3001,1.3398936986923218
Cape_Cana,133401,1.950175166130066
Cape_Cod,138855,2.3528599739074707
Carolina_,50839,1.9288250207901
Central_C,3340,-1.061370074748993
Central_L,20654,2.9672560691833496
Charles,77196,2.1182106733322144
Charlotte,28989,1.4141032695770264
Chester_S,56608,3.336180090904236
Chetco,1001,0.09674911946058273
Chincotea,168661,3.957362174987793
Choctawha,19283,1.379608392715454
Choptank,137682,4.091396331787109
Coastal_C,65413,1.8686410188674927
Cohansey_,361133,3.562173366546631
Cooper,127727,2.509833335876465
Coos,6011,0.5572364926338196
Coquille,1857,0.6027757525444031
Cottonwoo,2298,-0.7233874201774597
Coyote,544,-1.062763273715973
Crescent_,653,-0.7811066508293152
Crosswick,2066,3.2509909868240356
Crystal_P,215540,1.6856958270072937
Cumberlan,490091,2.343600034713745
Daytona_S,100364,2.2738298177719116
Delaware_,779,3.2208316326141357
Dungeness,839,0.0345209538936615
Duwamish,26,0.5291926264762878
East_Cent,1219611,3.5075302124023437
East_Galv,302709,3.797067165374756
East_Mat1,265594,3.6994746923446655
East_Mat2,136382,3.9948755502700806
East_San_,163830,4.432232141494751
Eastern_1,314675,3.9695398807525635
Eastern_2,1634568,3.082267999649048
Econfina_,210234,1.6528304815292358
Edisto_Ri,211464,2.5336657762527466
Escambia,15160,1.6400982737541199
Escatawpa,2049,2.3017165660858154
Everglade,340038,2.2843785285949707
Farmingto,55,2.7536158561706543
Florida_B,74576,2.337435722351074
Florida_S,109582,2.2990082502365112
Grays_Har,13458,0.6127732694149017
Great_Egg,263922,3.775108575820923
Great_Wic,42726,4.293160438537598
Gualala_S,318,-0.34164173901081085
Gunpowder,48447,3.27543044090271
Hackensac,1375,2.882113456726074
Hampton_R,33936,4.217191934585571
Hoh_Quill,349,-1.664117693901062
Hood_Cana,4749,0.35900530219078064
Housatoni,2235,2.682612657546997
Hudson_Ho,4,2.522762894630432
Hudson_Wa,7425,2.7674202919006348
Lake_Maur,82157,3.0497303009033203
Lake_Pont,1604,2.9455795288085938
Lavaca,21634,4.14290189743042
Liberty_B,86372,2.877121686935425
Little_Ma,1244,1.2779496312141418
Long_Isla,14617,2.6738834381103516
Los_Angel,171,0.04901810362935066
Lower_And,3780,1.470744252204895
Lower_Bra,1916,3.3586031198501587
Lower_Cal,733005,3.5111918449401855
Lower_Cap,44440,2.233234405517578
Lower_Che,225,0.5542300939559937
Lower_Cho,7999,1.3276654481887817
Lower_Co1,2220,3.8950425386428833
Lower_Co3,1325,0.5060197710990906
Lower_Co4,21614,0.4514925926923752
Lower_Con,11288,3.098945140838623
Lower_Del,21770,3.2409610748291016
Lower_Eel,5801,1.4685935974121094
Lower_Hud,9569,2.6847147941589355
Lower_Jam,42390,4.317715644836426
Lower_Ken,864,1.4899378418922424
Lower_Kla,10,0.004554813262075186
Lower_Mis,70625,3.2138707637786865
Lower_Nec,8468,3.5540207624435425
Lower_Neu,181338,2.8605096340179443
Lower_Nue,2162,4.016576766967773
Lower_Och,19572,1.3766480088233948
Lower_Oge,1,2.316575527191162
Lower_Pea,110569,2.7901835441589355
Lower_Pen,2782,1.4716992378234863
Lower_Pot,54399,4.159483909606934
Lower_Rap,42034,4.3482887744903564
Lower_Rio,22127,4.166297435760498
