Abbrev,n,median
Lower_Roa,639,3.271644115447998
Lower_Rog,323,0.42056143283843994
Lower_Sab,207218,3.5232549905776978
Lower_Sac,9049,-0.8723521828651428
Lower_San,5278,4.466717958450317
Lower_Sav,65765,2.724982500076294
Lower_Ska,877,0.06823337078094482
Lower_St_,82769,2.832737445831299
Lower_Sus,755,3.3018484115600586
Lower_Suw,21513,1.7114983797073364
Lower_Tri,29431,3.781073570251465
Lynnhaven,39946,4.350447177886963
Mad_Redwo,9659,1.5762531757354736
Maine_Coa,30032,1.3206809759140015
Manatee,6608,1.3183554410934448
Mattaponi,12386,4.321479797363281
Mattole,49,0.9711043238639832
Mermentau,945205,3.467118740081787
Merrimack,10011,2.0664427280426025
Middle_Hu,55,2.5965001583099365
Middle_Ja,2,3.819166660308838
Middle_Ne,21,2.862410545349121
Middle_Po,4025,3.8501999378204346
Mission,20876,4.791417121887207
Mississip,214347,2.3534481525421143
Mobile_Ba,38720,2.156663417816162
Mobile_Te,58047,2.118723154067993
Monterey_,7910,-1.2022786736488342
Mullica_T,234849,3.593890905380249
Myakka,6400,1.4112586379051208
Nanticoke,68458,3.985857844352722
Narragans,25213,2.798895835876465
Nassau,123193,2.537260055541992
Navidad,3352,4.115570783615112
Necanicum,112,0.49535398185253143
Nehalem,3058,0.5376656651496887
New,22792,1.1229817867279053
New_River,88503,2.5319669246673584
Newport_B,836,-0.13488444685935974
Nisqually,103,0.47577008605003357
Nooksack,2050,-0.31312501430511475
North_Cor,37637,4.063904285430908
North_Gal,8653,3.820355176925659
North_Lag,8048,3.358136534690857
Northern_,19975,2.702969789505005
Ogeechee_,955332,2.510069251060486
Pajaro,484,-1.187705636024475
Pamlico,85721,3.000201940536499
Pamlico_S,225895,3.0105085372924805
Pamunkey,24987,4.3145012855529785
Pascagoul,67701,2.3147621154785156
Passamaqu,3396,1.1426734328269958
Patuxent,22753,3.840024709701538
Pawcatuck,8281,3.069228172302246
Peace,8829,1.4154549837112427
Pensacola,23169,1.5814262628555298
Perdido,3754,1.7458682656288147
Perdido_B,18955,1.8175864219665527
Piscataqu,52323,1.931282877922058
Pokomoke_,164995,4.028749465942383
Presumpsc,23604,1.4435369372367859
Puget_Sou,26841,0.16113315522670746
Queets_Qu,501,0.3113173246383667
Quinnipia,21841,2.9662084579467773
Raritan,13632,3.2201496362686157
Russian,55,-0.46596741676330566
Sabine_La,576712,3.546496629714966
Saco,1600,1.5529500246047974
Salinas,514,-1.2518208622932434
Salkehatc,274706,2.55790376663208
San_Anton,5,-0.8237932920455933
San_Berna,83619,3.443063974380493
San_Diego,4012,-0.5767497718334198
San_Ferna,427,3.478398323059082
San_Fran1,62129,-1.0697273015975952
San_Fran2,819,-1.0489987134933472
San_Gabri,840,-0.009031006135046482
San_Joaqu,1499,-0.8802276849746704
San_Juan_,503,-0.16221483051776886
San_Luis_,1969,-0.5258897542953491
San_Pablo,86353,-0.8156608939170837
Sandy_Hoo,32729,3.2388505935668945
Santa_Ana,388,-0.10865392535924911
Santa_Bar,1936,-0.41179707646369934
Santa_Cla,739,-0.1062011867761612
Santa_Ma2,887,-0.3998746871948242
Santa_Mon,734,0.5915749371051788
Santa_Yne,834,-0.7630928754806519
Santee,54946,2.035112142562866
Sarasota_,6265,1.4074718952178955
Satilla,38648,2.3197168111801147
Saugatuck,5894,2.6072932481765747
Schuylkil,211,3.221081495285034
Seal_Beac,5025,-0.03882446885108948
Severn,16099,3.416837692260742
Shetucket,6,3.0442789793014526
Siletz_Ya,6015,0.72998809814453125
Siltcoos,7,0.620531439781189
Siuslaw,1230,0.6492177844047546
Sixes,1447,0.6519713997840881
Skokomish,45,0.36496850848197937
Smith,3679,-0.4087855815887451
Snohomish,377,0.28672733902931213
South_Car,102738,2.5564074516296387
South_Cor,22857,4.074460029602051
South_Lag,55570,3.08582603931427
Southern_,169517,2.8671181201934814
St_Andrew,84181,1.0716408491134644
St_Croix,511,1.2438210248947144
St_George,28490,1.4761288166046143
St_Helena,94719,2.5878899097442627
St_Marys,94475,2.298931121826172
Stillagua,208,0.18492023646831512
Strait_of,1207,-0.04717494919896126
Suisun_Ba,235788,-0.8531750738620758
Tampa_Bay,19564,1.3327303528785706
Tangier,410017,4.060986518859863
Tangipaho,3583,3.022402048110962
Thames,9576,3.1874598264694214
Tickfaw,156,2.9709386825561523
Tomales_D,6362,-0.7483927607536316
Umpqua,1572,0.6077398359775543
Upper_Ca2,74,3.437766432762146
Ventura,112,-0.14201006293296814
Vermilion,769600,3.4227912425994873
Vero_Beac,4539,1.8516300916671753
Waccasass,175592,1.7540057301521301
West_Cent,1469011,3.4899673461914062
West_Fork,73,3.4506101608276367
West_Galv,168656,3.839871883392334
West_Mata,75272,4.229618310928345
West_San_,56057,4.49613094329834
White_Oak,127457,2.675610065460205
Willapa_B,32165,0.7344487309455872
Wilson_Tr,11176,0.5965168476104736
Withlacoo,7838,1.744446873664856
Yellow,3943,1.5866824388504028
York,31407,4.3270134925842285
