Abbrev,n,median
Alafia,344,0.2884477376937866
Albemarle,320766,0.40884625911712646
Aliso_San,102,0.5780419409275055
Alsea,2905,0.8645663261413574
Altamaha,107408,0.9914472699165344
Amite,144,0.1740875393152237
Apalachee,110999,0.3750353157520294
Apalachi1,29560,0.19928227365016937
Apalachi2,31131,0.16865725815296173
Appomatto,62,0.36596637964248657
Aransas,22229,0.10860046744346619
Aransas_B,165035,0.10273268818855286
Atchafala,9207,0.17084021866321564
Aucilla,2112,0.3635392189025879
Austin_Oy,162409,0.17325010895729065
Baffin_Ba,3012,0.1649637222290039
Bayou_Tec,2461,0.16940653324127197
Big_Cypre,158124,0.352144330739975
Big_Navar,982,0.6669439673423767
Black,2,-0.1520647406578064
Blackwate,1982,0.20887885987758636
Brandywin,56780,0.7520910501480103
Broad_St_,246868,1.0176503658294678
Broadkill,239168,0.7344972491264343
Bronx,4360,1.038443922996521
Buffalo_S,11273,0.16027863323688507
Bulls_Bay,220032,0.7480172514915466
Calibogue,119914,0.9504063129425049
Calleguas,8334,0.5749162435531616
Caloosaha,3001,0.1726435124874115
Cape_Cana,133401,0.3137284815311432
Cape_Cod,138855,0.7042165994644165
Carolina_,50839,0.6052901148796082
Central_C,3340,0.5525442361831665
Central_L,20654,0.16652753949165344
Charles,77196,1.1965790390968323
Charlotte,28989,0.17122316360473633
Chester_S,56608,0.2726624310016632
Chetco,1001,0.7508708238601685
Chincotea,168661,0.3258107304573059
Choctawha,19283,0.08035024255514145
Choptank,137682,0.21954326331615448
Coastal_C,65413,0.6695992350578308
Cohansey_,361133,0.801116943359375
Cooper,127727,0.7632409930229187
Coos,6011,0.9095736742019653
Coquille,1857,0.8134455680847168
Cottonwoo,2298,0.5805325508117676
Coyote,544,0.71626877784729
Crescent_,653,0.7584725618362427
Crosswick,2066,1.1323145627975464
Crystal_P,215540,0.22787360846996307
Cumberlan,490091,0.8975180387496948
Daytona_S,100364,0.5263686180114746
Delaware_,779,0.7866933941841125
Dungeness,839,0.884623646736145
Duwamish,26,1.1947928667068481
East_Cent,1219611,0.16729900240898132
East_Galv,302709,0.17861998081207275
East_Mat1,265594,0.15582871437072754
East_Mat2,136382,0.13804444670677185
East_San_,163830,0.11265125870704651
Eastern_1,314675,0.48372411727905273
