Abbrev,n,median
Alafia,344,0.8225918412208557
Albemarle,50813,0.5616239905357361
Aliso_San,89,0.4758126139640808
Alsea,2799,0.2777358293533325
Altamaha,107408,0.2832673192024231
Amite,144,12.72623872756958
Apalachee,105763,0.6376963257789612
Apalachi1,28911,1.2088004350662231
Apalachi2,28731,1.4196306467056274
Aransas,21837,3.2012574672698975
Aransas_B,149794,3.0252091884613037
Atchafala,9207,1.4512370824813843
Aucilla,2004,0.654663622379303
Austin_Oy,161547,1.6198114156723022
Baffin_Ba,2480,1.8729358315467834
Bayou_Tec,2395,1.5922752618789673
Big_Cypre,142208,0.6876583397388458
Big_Navar,725,0.45978444814682007
Blackwate,1828,1.1454002857208252
Brandywin,55882,0.33135804533958435
Broad_St_,241003,0.23765438795089722
Broadkill,234798,0.38232940435409546
Bronx,4017,0.23659254610538483
Buffalo_S,7557,1.8429690599441528
Bulls_Bay,216789,0.3303716480731964
Calibogue,114701,0.25418707728385925
Calleguas,8112,0.45392824709415436
Caloosaha,1693,1.5807042121887207
Cape_Cana,133401,0.8436034321784973
Cape_Cod,129274,0.41880621016025543
Carolina_,50828,0.39922457933425903
Central_C,3220,0.4555583894252777
Central_L,18911,2.094813585281372
Charles,74659,0.2285604327917099
Charlotte,22969,1.493316888809204
Chester_S,47547,1.3182346820831299
Chetco,758,0.40165287256240845
Chincotea,158759,0.7680941820144653
Choctawha,16913,3.457047700881958
Choptank,106713,1.2534162998199463
Coastal_C,36193,0.37626662850379944
Cohansey_,356855,0.3204626739025116
Cooper,124171,0.31276991963386536
Coos,5389,0.2646748721599579
Coquille,1819,0.2944594919681549
Cottonwoo,2282,0.41590774059295654
Coyote,544,0.3802749812602997
Crescent_,181,0.3493192493915558
Crosswick,1706,0.22310762107372284
Crystal_P,171903,1.001913070678711
Cumberlan,488097,0.291133314371109
Daytona_S,99138,0.48511429131031036
Delaware_,754,0.3123749941587448
Dungeness,671,0.28424280881881714
Duwamish,9,0.20685319602489471
East_Cent,1219611,1.6069961786270142
East_Galv,297265,1.556020975112915
East_Mat1,262618,1.9714407920837402
East_Mat2,134074,2.4085402488708496
East_San_,155867,3.610269546508789
Eastern_1,305563,0.5377258658409119
Eastern_2,1634568,1.527299404144287
Econfina_,193851,0.5801106691360474
Edisto_Ri,198070,0.2918896973133087
Escambia,14844,1.240172266960144
Escatawpa,2049,1.1027827262878418
Everglade,271986,1.0876371264457703
Florida_B,74576,1.485545575618744
Florida_S,109579,1.2726374864578247
Grays_Har,11657,0.230874702334404
Great_Egg,261372,0.4287411719560623
Great_Wic,35224,0.7752759158611298
Gualala_S,226,0.44744376838207245
Gunpowder,19675,1.067672848701477
Hackensac,1370,0.3162296563386917
Hampton_R,30460,0.778489500284195
Hood_Cana,4128,0.20667914301156998
Housatoni,1806,0.23233647644519806
Hudson_Wa,5603,0.5071073174476624
Lake_Maur,82157,1.493021011352539
Lake_Pont,1604,1.6275245547294617
