demName,demSource,downloadDate,hydroflatteningValue,SurveyYearMin,SurveyYearMax,processingNotes
ALFL_A1_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,0,2002,2008,Some streaks from LiDAR swaths.
ALFL_A2_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,0,2006,2008,NA
ALFL_A3_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,0,2007,2007,NA
CA_ChannelIslands_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-1,2010,2010,NA
CA_EKA1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_EKA2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_LOX1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_LOX2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,Looks like missing marsh around Mugu. C-CAP says it's water.
CA_MTR1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_MTR2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_MTR3_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CA_SGX_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-1,2009,2011,NA
CT_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2012,2013,NA
DC_GCS_3m_NAVDm,coast.noaa.gov/slrdata/,2017-04-24,NA,2014,2014,.-99 instead of hydroflattening. Looks like some water processing plants in the wouth east portion of the image are introducing errors.
FL_JAX_1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,0,2004,2008,NA
FL_JAX_2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.304801,2004,2008,NA
FL_MFL_1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.304801,2007,2008,Everglades is cut off.
FL_MFL_2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.304801,2007,2008,Everglades is cut off.
FL_MLB_1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.304801,2006,2007,NA
FL_MLB_2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.304801,2007,2007,Needed to reprocess with -0.305000 removed. Special case.
FL_TBW_1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.1524,2004,2008,NA
FL_TBW_2_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.1524,2005,2008,NA
GA_CHS_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.914402,2009,2010,NA
GA_JAX_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.914402,2010,2010,NA
MARI_BOX_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2012,2013,NA
MD_LWX_GCS_10m_NAVDm_dist,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2004,2008,NA
MD_PHI_AKQ_GCS_10m_NAVDm_dist,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2002,2006,Bloodsworn Island US Naval Res blanked out.
MD_PrinceGeorges_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-1,2012,2012,Some artifacting around Aquasco farm. Looks like a group of pixels defaulted to 0.5. Can't figure out why. I'll just leave it.
ME_CAR_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2012,2013,NA
MENH_GYX_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2012,2013,NA
MS_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,0,2001,2007,NA
NC_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2012,2013,NA
NJDEPA_PHI_GCS_10m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2005,2011,NA
NY_OKX1_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2010,2012,NA
NY_OKX2_GCS_5m_NAVDm,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2010,2012,NA
OR_MFR_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2008,2009,NA
OR_PQR1_GCS_5m_NAVD88m,coast.noaa.gov/slrdata/,2015-08-28,-0.5,2007,2009,NA
