Abbrev,Name,States,Coast,INSIDE_X,INSIDE_Y,int_position,mean,n,sd,min,Q025,Q25,median,Q75,Q975,max,pct_of_all_data,zStar_uncertainty,mhw_msl,rslr,IQR,log_MHW_MSL,log_IQR,log_ZstarUncertainty
Strait_of,Strait of Georgia,"CN,WA",Pacific,-122.788768893,48.8478541924,1,1.1971256636731726,448,1.9520285189554234,-2.034229040145874,-1.9142949461936951,0.2762550860643387,0.8846316635608673,1.597146064043045,5.508606910705566,14.730899810791016,0.0022068590459915828,0.24486467987298965,1.0543887615203857,-0.04717494919896126,1.3208909779787064,0.05296122606019887,0.2783064922166982,-1.407049548075205
Nooksack,Nooksack,"CN,WA",Pacific,-122.175990935,48.8154325641,2,0.8515964500083422,1561,0.572728670193998,-2.1935901641845703,-0.7700907588005066,0.6494919061660767,0.9430930018424988,1.144984483718872,1.7928438186645508,3.3531923294067383,0.007689524488376922,0.2682549059391022,0.9018712043762207,-0.31312501430511475,0.4954925775527954,-0.10328355805471295,-0.7022029050361069,-1.3158176089559848
San_Juan_,San Juan Islands,"CN,WA",Pacific,-123.199360042,48.6637650593,3,0.8397512689556842,263,0.9938488907133011,-2.096052408218384,-1.7892560064792633,0.6994242072105408,0.9585453271865845,1.230332851409912,2.9177178382873534,4.289545059204102,0.0012955444845888088,0.26874375343322754,0.9414961338043213,-0.16221483051776886,0.5309086441993713,-0.06028503731468762,-0.6331653173638826,-1.3139969428495415
Crescent_,Crescent-Hoko,"WA,CN",Pacific,-124.22911903400001,48.4803464442,4,1.3636266329835134,181,1.1932282592554417,-2.468816041946411,-1.6306650042533875,1.0573575496673584,1.3446061611175537,1.549744725227356,3.248517394065857,9.576045989990234,8.916104627778493e-4,0.3493192493915558,0.7584725618362427,-0.7811066508293152,0.49238717555999756,-0.27644865509143635,-0.7084899297713717,-1.051769020209222
Lower_Ska,Lower Skagit,WA,Pacific,-122.079385707,48.4534260026,5,0.8919983294433345,642,1.3432555482063593,-1.838913083076477,-1.214929261803627,0.5873226076364517,0.8262365758419037,1.1129859685897827,2.4286518454551698,16.288053512573242,0.003162507829300438,0.22097332030534744,1.1172337532043457,0.06823337078094482,0.525663360953331,0.11085576695289705,-0.6430942693182735,-1.5097133073521818
Stillagua,Stillaguamish,WA,Pacific,-121.894750336,48.2273614762,6,0.9370170654569353,175,0.6254579151874616,-1.7323626279830933,-1.4660435438156127,0.791380912065506,1.0423747301101685,1.192204773426056,1.7856838047504426,2.297621250152588,8.62054314840462e-4,0.21289637684822083,1.1494115591049194,0.18492023646831512,0.4008238613605499,0.13925012368346246,-0.9142331966508707,-1.5469497253194768
Dungeness,Dungeness-Elwha,"WA,CN",Pacific,-123.269402802,48.1170634511,7,1.218781123501311,671,0.9487643474626929,-2.1888890266418457,-0.03323272429406643,0.8657988905906677,1.304609775543213,1.5122216939926147,2.2364224791526794,14.3827486038208,0.003305362544331143,0.28424280881881714,0.884623646736145,0.0345209538936615,0.646422803401947,-0.12259298234726224,-0.4363014948573484,-1.2579264454619525
Snohomish,Snohomish,WA,Pacific,-122.040914201,47.9998901777,8,1.0593560716518051,362,0.7605192076884223,-1.7626014947891235,-1.1538221687078474,0.9172783941030502,1.0893193483352661,1.2077186703681946,3.1117510557174657,4.616220474243164,0.0017832209255556986,0.21093326807022095,1.1410187482833862,0.28672733902931213,0.29044027626514435,0.1319215021940115,-1.2363573132753074,-1.5562134605984579
Hood_Cana,Hood Canal,WA,Pacific,-122.978308617,47.6580419678,10,1.0344766441200146,4128,0.8991391731774308,-1.69200599193573,-0.5878910139203068,0.691872701048851,1.0471690893173218,1.2904008328914642,2.46291646361351,17.058595657348633,0.02033462978092244,0.20667914301156998,1.1801345348358154,0.35900530219078064,0.5985281318426132,0.16562844455135894,-0.5132817511746178,-1.5765877220224467
Puget_Sou,Puget Sound,WA,Pacific,-122.637718211,47.6437063121,11,0.8250825901043061,13572,0.7670959813237983,-1.8224549293518066,-0.6503834962844849,0.5762442499399185,0.8738530576229095,1.0783163905143738,2.061221605539322,26.78827476501465,0.06685600663437001,0.21224675327539444,1.1410330533981323,0.16113315522670746,0.5020721405744553,0.13193403925801306,-0.6890114632915564,-1.55000575060782
