region,mean_low_marsh,mean_high_marsh,standard_error,pct_low
Northwest,5458.1814,4892.2686,8.967342479240994,52.733759401765134
Southwest,26000.845200000003,15313.4748,16.0677692403146,62.93422038653911
South Central,499826.77920000005,371362.3308,107.54428605323483,57.3729369964232
Southeast,398902.72140000004,201264.7086,77.09801397325354,66.46523977484084
mid-Atlantic,98019.40680000001,72493.9632,49.147179563429674,57.48488039383657
Northeast,90693.8181,48237.3819,38.15953296294388,65.2796622356965
CONUS,1118901.7521000002,713564.1279000001,147.37726716088204,61.05989553813684
