Abbrev,mean,n,sd,min,Q025,Q25,median,Q75,Q975,max,median_Q25,median_Q75,upper_outlier,lower_outler,outlier,Name,States,Coast,INSIDE_X,INSIDE_Y,int_position
Amite,32.73173242119245,144,28.368606061392708,-3.843905448913574,-3.4483935892581936,15.0553457736969,34.346435546875,39.308298110961914,85.39543418884274,206.52833557128906,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Amite,"LA,MS",Gulf,-90.9094910358,30.7857615942,120
Chetco,14.952868389427701,758,23.67773965216182,-2.4738399982452393,-2.0452298521995544,3.579097330570221,6.726749897003174,18.62085199356079,83.26871604919371,214.87380981445312,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Chetco,"CA,OR",Pacific,-124.184084746,42.2020041262,39
Lower_Nue,6.755450937516085,2092,3.6587377851136016,-4.564329147338867,-0.755531398952007,5.304115653038025,6.607518196105957,7.864960074424744,14.890476179122922,40.47587203979492,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Lower Nueces,TX,Gulf,-98.0341784813,28.215561137,84
Lower_San,10.870518158980476,5199,10.136273944667865,-6.4598588943481445,-4.109072208404541,3.7790406942367554,8.068120956420898,15.623761177062988,34.565309715271,68.78440856933594,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Lower San Antonio,TX,Gulf,-97.7674734269,28.9042898672,85
Middle_Ne,45.931156714757286,6,53.3427409634998,-3.250542163848877,-3.1818520724773407,-2.596990704536438,44.96622383594513,94.21404838562012,96.49558734893799,96.7264404296875,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Middle Neuse,NC,Atlantic,-77.4559699386,35.2996506238,202
Navidad,6.6136448351112875,3352,3.527475413464203,-7.585973739624023,0.9912361949682238,4.912387132644653,6.080968141555786,8.364825248718262,14.006480669975277,49.360843658447266,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Navidad,TX,Gulf,-96.6642976893,29.3662575005,98
Necanicum,24.715814718875016,110,33.19658759449152,-1.8430699110031128,-0.9302392572164535,4.531820774078369,8.667382717132568,29.21928834915161,115.43775730133049,131.26087951660156,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Necanicum,OR,Pacific,-123.955844443,45.9363662466,24
San_Anton,12.252751231193542,3,9.192880461528079,1.6380373239517212,2.4306274354457864,9.563938438892365,17.489839553833008,17.560108184814453,17.623349952697755,17.6303768157959,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,San Antonio,CA,Pacific,-120.490363423,34.798603091,64
Sixes,25.95568167358192,1340,30.28347473736077,-2.2123730182647705,0.6683252885937692,6.092036008834839,16.133502960205078,38.1367073059082,89.66344814300533,445.7245178222656,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Sixes,OR,Pacific,-124.413092031,42.7848878462,37
Tickfaw,40.628419000941975,156,42.63198194995934,-3.320220470428467,-1.2744351625442505,3.759632110595703,45.97823715209961,57.48612117767334,179.46589469909668,205.80213928222656,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Tickfaw,LA,Gulf,-90.6296220839,30.6704028853,123
Upper_Ca2,46.68050637547399,71,54.228314590134794,-1.7637275457382202,4.065040647983551,13.37481689453125,23.631221771240234,60.66174125671387,181.36600494384766,186.6358184814453,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,Upper Calcasieu,LA,Gulf,-92.954791946,30.43014798,115
West_Fork,56.725959549211474,73,62.433374260194036,3.046963691711426,5.640802288055419,27.451343536376953,37.08010482788086,61.579551696777344,189.3927734375006,363.7658386230469,0.7386948466300964,2.0134224891662598,5.83760541677475,-3.0854880809783936,outlier,West Fork Calcasieu,LA,Gulf,-93.4074898585,30.5025081521,113
