"gauge_id","gauge_name","gauge_start","gauge_end","gauge_pc","gauge_lat","gauge_long","rslr","se"
8518750,"The Battery, NY",1856,2015,90,40.7006,-74.0142,3.71,0.7
8519483,"Bergen Point, NY",1981,2015,94,40.6367,-74.1417,3.29,0.77
8531680,"Sandy Hook, NJ",1932,2015,99,40.4669,-74.0094,3.62,0.72
8534720,"Atlantic City, NJ",1911,2015,91,39.355,-74.4183,4.32,0.81
8536110,"Cape May, NJ",1965,2015,91,38.9683,-74.96,4.49,0.74
8545240,"Philadelphia, PA",1900,2015,22,39.9333,-75.1417,3.14,0.92
8551910,"Reedy Point, DE",1956,2015,60,39.5583,-75.5733,2.86,0.75
8557380,"Lewes, DE",1919,2015,62,38.7817,-75.12,3.23,0.8
8571892,"Cambridge, MD",1943,2015,60,38.5733,-76.0683,4.21,0.67
8574680,"Baltimore, MD",1902,2015,100,39.2667,-76.5783,3.06,0.73
8575512,"Annapolis, MD",1928,2015,97,38.9833,-76.4816,2.21,0.74
8577330,"Solomons Island, MD",1937,2015,66,38.3167,-76.4517,4.55,0.72
8594900,"Washington, DC",1924,2015,90,38.8733,-77.0217,3.52,1.13
8631044,"Wachapreague, VA",1978,2015,73,37.6078,-75.6858,3.73,0.89
8632200,"Kiptopeke, VA",1951,2015,99,37.1652,-75.9884,3.46,0.79
8635150,"Colonial Beach, VA",1972,2010,88,38.2517,-76.96,4.62,0.78
8635750,"Lewisetta, VA",1974,2015,99,37.9961,-76.4644,4.97,0.8
8637624,"Gloucester Point, VA",1950,2003,97,37.2467,-76.5,4.51,0.8
8638610,"Sewells Point, VA",1927,2015,99,36.9467,-76.33,5.06,0.92
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975,2015,99,36.9667,-76.1133,4.66,0.84
8651370,"Duck, NC",1978,2015,98,36.1833,-75.7467,3.31,0.82
8656483,"Beaufort, NC",1953,2015,71,34.72,-76.67,2.37,0.7
8658120,"Wilmington, NC",1935,2015,97,34.2267,-77.9533,2.62,0.91
8661070,"Springmaid Pier, SC",1957,2015,64,33.655,-78.9183,-0.54,0.75
8665530,"Charleston, SC",1921,2015,99,32.7817,-79.925,2.99,0.81
8670870,"Fort Pulaski, GA",1935,2015,97,32.0333,-80.9017,3.4,0.85
8720030,"Fernandina Beach, FL",1897,2015,78,30.6717,-81.465,1.7,0.91
8720218,"Mayport, FL",1928,2015,17,30.3967,-81.43,4.2,0.89
8723970,"Vaca Key, FL",1971,2015,91,24.7117,-81.105,3.18,0.51
8724580,"Key West, FL",1913,2015,93,24.5557,-81.8079,2,0.59
8725110,"Naples, FL",1965,2015,98,26.1317,-81.8075,2.67,0.53
